slug,name,creator,type,intel,cost,tokens_m,inp,out,cache,blended,eff_cost_per_m,spd,cost_per_iq,iq_per_1k,tok_per_iq
claude-4-5-haiku-reasoning,Claude 4.5 Haiku Reasoning,Anthropic,Proprietary,30,539.04,88,1.0,5.0,,0.7,6.1255,102.0,17.968,55.6545,2.93
claude-4-5-sonnet-thinking,Claude 4.5 Sonnet Thinking,Anthropic,Proprietary,43,1458.79,64,3.0,15.0,,2.1,22.7936,48.0,33.9253,29.4765,1.49
claude-fable-5,Claude Fable 5,Anthropic,Proprietary,60,5630.52,87,10.0,50.0,,7.0,64.7186,73.0,93.842,10.6562,1.45
claude-opus-4-8,Claude Opus 4.8,Anthropic,Proprietary,56,3752.55,120,5.0,25.0,,3.5,31.2713,65.0,67.0098,14.9232,2.14
claude-sonnet-4-6-adaptive,Claude Sonnet 4.6 Adaptive,Anthropic,Proprietary,47,3355.85,200,3.0,15.0,,2.1,16.7793,51.0,71.4011,14.0054,4.26
claude-sonnet-5,Claude Sonnet 5,Anthropic,Proprietary,53,6015.18,300,3.0,15.0,,2.1,20.0506,78.0,113.494,8.811,5.66
deepseek-v4-flash,DeepSeek V4 Flash (Max),DeepSeek,Open weights,40,72.42,230,0.14,0.28,0.003,0.0581,0.3149,104.0,1.8105,552.3336,5.75
deepseek-v4-pro,DeepSeek V4 Pro (Max),DeepSeek,Open weights,44,176.34,180,0.43,0.87,,0.173,0.9797,85.0,4.0077,249.518,4.09
gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,Google,Proprietary,46,815.11,56,2.0,12.0,0.2,1.74,14.5555,131.0,17.7198,56.4341,1.22
gemini-3-5-flash,Gemini 3.5 Flash,Google,Proprietary,50,1040.88,75,1.5,9.0,,1.2,13.8784,163.0,20.8176,48.0363,1.5
gemma-4-31b,Gemma 4 31B,Google,Open weights,29,,38,0.0,0.0,,0.0,,35.0,,,1.31
glm-5-2,GLM-5.2 (max),Z AI,Open weights,51,932.68,140,1.4,4.4,,0.72,6.662,168.0,18.2878,54.6811,2.75
gpt-5-2-codex,GPT-5.2 Codex,OpenAI,Proprietary,40,,,1.75,14.0,,1.75,,156.0,,,
gpt-5-3-codex,GPT-5.3 Codex,OpenAI,Proprietary,44,,,1.75,14.0,,1.75,,90.0,,,
gpt-5-5,GPT-5.5 (xhigh),OpenAI,Proprietary,55,2818.79,72,5.0,30.0,0.5,4.35,39.1499,75.0,51.2507,19.5119,1.31
gpt-5-5-high,GPT-5.5 (high),OpenAI,Proprietary,53,1745.57,43,5.0,30.0,,4.0,40.5947,66.0,32.9353,30.3626,0.81
gpt-5-5-low,GPT-5.5 (low),OpenAI,Proprietary,43,382.08,,5.0,30.0,,4.0,,69.0,8.8856,112.5419,
gpt-5-5-medium,GPT-5.5 (medium),OpenAI,Proprietary,50,951.24,21,5.0,30.0,,4.0,45.2971,67.0,19.0248,52.563,0.42
gpt-5-5-pro,GPT-5.5 Pro,OpenAI,Proprietary,,,,0.0,0.0,,0.0,,,,,
gpt-oss-120b,GPT-OSS-120B,OpenAI,Open weights,24,96.28,87,0.15,0.6,,0.09,1.1067,303.0,4.0117,249.273,3.62
gpt-oss-20b,GPT-OSS-20B,OpenAI,Open weights,15,29.87,67,0.05,0.2,,0.03,0.4458,223.0,1.9913,502.1761,4.47
grok-4-3,Grok 4.3,xAI,Proprietary,38,299.97,83,1.25,2.5,,0.5,3.6141,117.0,7.8939,126.6793,2.18
k2-think-v2,K2 Think V2,Google,Open weights,24,,99,0.0,0.0,,0.0,,,,,4.12
kimi-k2-6,Kimi K2.6,Kimi,Open weights,43,831.34,160,0.95,4.0,,0.59,5.1959,43.0,19.3335,51.7237,3.72
kimi-k2-7-code,Kimi K2.7 Code,Kimi,Open weights,42,524.56,100,0.95,4.0,,0.59,5.2456,59.0,12.4895,80.0671,2.38
kimi-k2-thinking,Kimi K2 Thinking,Kimi,Open weights,33,,,0.6,2.5,,0.37,,124.0,,,
mimo-v2-5-pro,MiMo V2.5 Pro,Xiaomi,Open weights,42,98.47,96,0.43,0.87,,0.173,1.0257,52.0,2.3445,426.5258,2.29
minimax-m2-5,MiniMax M2.5,MiniMax,Open weights,34,,,0.3,1.2,,0.18,,240.0,,,
minimax-m2-7,MiniMax M2.7,MiniMax,Open weights,38,143.73,85,0.3,1.2,,0.18,1.6909,51.0,3.7824,264.3846,2.24
minimax-m3,MiniMax M3,MiniMax,Open weights,44,203.86,89,0.3,1.2,0.06,0.222,2.2906,92.0,4.6332,215.8344,2.02
mistral-medium-3-5,Mistral Medium 3.5,Mistral,Open weights,30,1483.4,91,1.5,7.5,,1.05,16.3011,118.0,49.4467,20.2238,3.03
muse-spark,Muse Spark,Meta,Proprietary,43,,57,0.0,0.0,,0.0,,,,,1.33
nova-2-0-pro-reasoning-medium,Nova 2.0 Pro Reasoning,Amazon,Proprietary,36,466.55,36,1.25,10.0,,1.25,12.9597,126.0,12.9597,77.1621,1.0
nvidia-nemotron-3-super-120b-a12b,Nemotron 3 Super 120B,NVIDIA,Open weights,25,294.56,110,0.3,0.75,,0.135,2.6778,296.0,11.7824,84.8724,4.4
nvidia-nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B,NVIDIA,Open weights,38,443.63,110,0.68,2.67,,0.403,4.033,173.0,11.6745,85.657,2.89
qwen3-5-397b-a17b,Qwen3.5 397B (A17B),Alibaba,Open weights,34,528.06,88,0.6,3.6,,0.48,6.0007,51.0,15.5312,64.3866,2.59
qwen3-7-max,Qwen3.7 Max,Alibaba,Proprietary,46,1336.15,100,2.5,7.5,,1.25,13.3615,111.0,29.0467,34.4273,2.17
solar-pro-3,Solar Pro 3,Alibaba,Proprietary,26,,120,0.0,0.0,,0.0,,,,,4.62
